SATNAME,LAUNCH
COSMOS 195,16/12/1967
SL-3 R/B,16/12/1967
SL-3 DEB,16/12/1967
COSMOS 196,19/12/1967
SL-7 R/B,19/12/1967
SL-7 DEB,19/12/1967
SL-7 DEB,19/12/1967
SL-7 DEB,19/12/1967
COSMOS 197,26/12/1967
SL-7 R/B,26/12/1967
SL-7 DEB,26/12/1967
SL-7 DEB,26/12/1967
SL-7 DEB,26/12/1967
SL-7 DEB,26/12/1967
SL-7 DEB,26/12/1967
SL-7 DEB,26/12/1967
SL-7 DEB,26/12/1967
COSMOS 198,27/12/1967
COSMOS 198 DEB (PELPS),27/12/1967
COSMOS 198 DEB (ANTENNA),27/12/1967
SURVEYOR 7,7/01/1968
ATLAS CENTAUR R/B,7/01/1968
EXPLORER 36 (GEOS 2),11/01/1968
DELTA 1 R/B,11/01/1968
DELTA 1 DEB,11/01/1968
DELTA 1 DEB,11/01/1968
DELTA 1 DEB,11/01/1968
DELTA 1 DEB,11/01/1968
DELTA 1 DEB,11/01/1968
DELTA 1 DEB,11/01/1968
DELTA 1 DEB,11/01/1968
DELTA 1 DEB,11/01/1968
DELTA 1 DEB,11/01/1968
DELTA 1 DEB,11/01/1968
DELTA 1 DEB,11/01/1968
DELTA 1 DEB,11/01/1968
COSMOS 199,16/01/1968
SL-3 R/B,16/01/1968
SL-3 DEB,16/01/1968
SL-3 DEB,16/01/1968
OPS 1965,17/01/1968
OPS 1965 DEB,17/01/1968
OPS 1965 DEB,17/01/1968
OPS 5028,18/01/1968
COSMOS 200,19/01/1968
SL-8 R/B,19/01/1968
SL-8 DEB,19/01/1968
SL-8 DEB,19/01/1968
SL-8 DEB,19/01/1968
SL-8 DEB,19/01/1968
SL-8 DEB,19/01/1968
SL-8 DEB,19/01/1968
APOLLO 5 LM (APS),22/01/1968
APOLLO 5 LM (DPS),22/01/1968
SATURN 1 R/B,22/01/1968
OPS 2243,24/01/1968
OPS 6236,24/01/1968
OPS 2243-6236 DEB,24/01/1968
COSMOS 201,6/02/1968
SL-3 R/B,6/02/1968
COSMOS 202,20/02/1968
SL-7 R/B,20/02/1968
COSMOS 203,20/02/1968
SL-8 R/B,20/02/1968
SL-8 DEB,20/02/1968
OPS 7034 (TRANSIT 18),2/03/1968
SCOUT A R/B,2/03/1968
SCOUT A DEB,2/03/1968
SCOUT A DEB,2/03/1968
TRANSIT 18 DEB,2/03/1968
TRANSIT 18 DEB,2/03/1968
TRANSIT 18 DEB,2/03/1968
ZOND 4,2/03/1968
SL-12 PLAT,2/03/1968
SL-12 R/B,2/03/1968
SL-12 DEB,2/03/1968
OGO 5,4/03/1968
ATLAS AGENA D R/B,4/03/1968
OGO 5 DEB,4/03/1968
COSMOS 204,5/03/1968
SL-7 R/B,5/03/1968
COSMOS 205,5/03/1968
SL-3 R/B,5/03/1968
EXPLORER 37 (SE-B),5/03/1968
SCOUT B R/B,5/03/1968
SCOUT B DEB,5/03/1968
SCOUT B DEB,5/03/1968
SCOUT B DEB,5/03/1968
OPS 5057,13/03/1968
COSMOS 206,14/03/1968
SL-3 R/B,14/03/1968
OPS 4849,14/03/1968
OPS 7076,14/03/1968
COSMOS 207,16/03/1968
SL-3 R/B,16/03/1968
COSMOS 208,21/03/1968
SL-3 R/B,21/03/1968
SL-3 DEB,21/03/1968
COSMOS 209,22/03/1968
COSMOS 209 DEB (ANTENNA),22/03/1968
COSMOS 209 DEB (PELPS),22/03/1968
COSMOS 209 DEB,22/03/1968
COSMOS 209 DEB,22/03/1968
COSMOS 210,3/04/1968
SL-3 R/B,3/04/1968
COSMOS 210 DEB,3/04/1968
APOLLO 6,4/04/1968
SATURN 5 R/B,4/04/1968
SATURN 5 DEB,4/04/1968
SATURN 5 DEB,4/04/1968
SATURN 5 DEB,4/04/1968
SATURN 5 DEB,4/04/1968
SATURN 5 DEB,4/04/1968
SATURN 5 DEB,4/04/1968
SATURN 5 DEB,4/04/1968
SATURN 5 DEB,4/04/1968
SATURN 5 DEB,4/04/1968
SATURN 5 DEB,4/04/1968
SATURN 5 DEB,4/04/1968
SATURN 5 DEB,4/04/1968
SATURN 5 DEB,4/04/1968
SATURN 5 DEB,4/04/1968
SATURN 5 DEB,4/04/1968
OV1-13,6/04/1968
OV1-14,6/04/1968
OV1-14 R/B,6/04/1968
OV1-13 R/B,6/04/1968
LUNA 14,7/04/1968
SL-6 PLAT,7/04/1968
SL-6 R/B,7/04/1968
COSMOS 211,9/04/1968
SL-7 R/B,9/04/1968
COSMOS 212,14/04/1968
SL-4 R/B,14/04/1968
COSMOS 213,15/04/1968
SL-4 R/B,15/04/1968
OPS 5105,17/04/1968
COSMOS 214,18/04/1968
SL-3 R/B,18/04/1968
COSMOS 215,18/04/1968
SL-7 R/B,18/04/1968
COSMOS 216,20/04/1968
SL-3 R/B,20/04/1968
MOLNIYA 1-8,21/04/1968
SL-6 R/B(1),21/04/1968
SL-6 PLAT,21/04/1968
SL-6 R/B(2),21/04/1968
COSMOS 217,24/04/1968
COSMOS 218,25/04/1968
SL-11 R/B,25/04/1968
SL-11 PLAT,25/04/1968
COSMOS 219,26/04/1968
SL-7 R/B,26/04/1968
SL-7 DEB,26/04/1968
OPS 1419,1/05/1968
THOR AGENA D R/B,1/05/1968
COSMOS 220,7/05/1968
SL-8 R/B,7/05/1968
SL-8 DEB,7/05/1968
IRIS (ESRO 2B),17/05/1968
SCOUT B R/B,17/05/1968
SCOUT B DEB,17/05/1968
OPS 7869 (DMSP 4B F1),23/05/1968
THOR BURNER 2 R/B,23/05/1968
COSMOS 221,24/05/1968
SL-7 R/B,24/05/1968
COSMOS 222,30/05/1968
SL-7 R/B,30/05/1968
COSMOS 223,1/06/1968
SL-3 R/B,1/06/1968
COSMOS 224,4/06/1968
SL-3 R/B,4/06/1968
OPS 5138,5/06/1968
COSMOS 225,11/06/1968
SL-7 R/B,11/06/1968
SL-7 DEB,11/06/1968
COSMOS 226,12/06/1968
SL-3 R/B,12/06/1968
SL-3 DEB,12/06/1968
OPS 9341 (IDSCS 19),13/06/1968
OPS 9342 (IDSCS 20),13/06/1968
OPS 9343 (IDSCS 21),13/06/1968
OPS 9344 (IDSCS 22),13/06/1968
OPS 9345 (IDSCS 23),13/06/1968
OPS 9346 (IDSCS 24),13/06/1968
OPS 9347 (IDSCS 25),13/06/1968
OPS 9348 (IDSCS 26),13/06/1968
TITAN 3C TRANSTAGE R/B,13/06/1968
COSMOS 227,18/06/1968
SL-3 R/B,18/06/1968
OPS 5343,20/06/1968
OPS 5259,20/06/1968
COSMOS 228,21/06/1968
SL-4 R/B,21/06/1968
SL-4 DEB,21/06/1968
SL-4 DEB,21/06/1968
SL-4 DEB,21/06/1968
SL-4 DEB,21/06/1968
SL-4 DEB,21/06/1968
COSMOS 229,26/06/1968
SL-3 R/B,26/06/1968
EXPLORER 38 (RAE-A),4/07/1968
DELTA 1 R/B,4/07/1968
EXPLORER 38 DEB,4/07/1968
DELTA 1 DEB,4/07/1968
DELTA 1 DEB,4/07/1968
DELTA 1 DEB,4/07/1968
DELTA 1 DEB,4/07/1968
DELTA 1 DEB,4/07/1968
DELTA 1 DEB,4/07/1968
DELTA 1 DEB,4/07/1968
DELTA 1 DEB,4/07/1968
EXPLORER 38 DEB,4/07/1968
DELTA 1 DEB,4/07/1968
DELTA 1 DEB,4/07/1968
DELTA 1 DEB,4/07/1968
DELTA 1 DEB,4/07/1968
DELTA 1 DEB,4/07/1968
DELTA 1 DEB,4/07/1968
DELTA 1 DEB,4/07/1968
DELTA 1 DEB,4/07/1968
COSMOS 230,5/07/1968
SL-7 R/B,5/07/1968
MOLNIYA 1-9,5/07/1968
SL-6 R/B(1),5/07/1968
SL-6 PLAT,5/07/1968
SL-6 DEB,5/07/1968
SL-6 DEB,5/07/1968
SL-6 R/B(2),5/07/1968
COSMOS 231,10/07/1968
SL-3 R/B,10/07/1968
OV1-15 (SPADES),11/07/1968
OV1-16 (CANNONBALL 1),11/07/1968
OV1-15 R/B(R MOD),11/07/1968
OV1-16 R/B(P MOD),11/07/1968
COSMOS 232,16/07/1968
SL-3 R/B,16/07/1968
COSMOS 233,18/07/1968
SL-7 R/B,18/07/1968
COSMOS 234,30/07/1968
SL-3 R/B,30/07/1968
OPS 2222,6/08/1968
ATLAS AGENA R/B,6/08/1968
OPS 5187,6/08/1968
OPS 5955,7/08/1968
EXPLORER 39 (ADI-3),8/08/1968
EXPLORER 40 (INJUN-5),8/08/1968
SCOUT B R/B,8/08/1968
SCOUT B DEB,8/08/1968
SCOUT B DEB,8/08/1968
SCOUT B DEB,8/08/1968
SCOUT B DEB,8/08/1968
SCOUT B DEB,8/08/1968
SCOUT B DEB,8/08/1968
SCOUT B DEB,8/08/1968
SCOUT B DEB,8/08/1968
SCOUT B DEB,8/08/1968
SCOUT B DEB,8/08/1968
COSMOS 235,9/08/1968
SL-3 R/B,9/08/1968
ATS 4,10/08/1968
ESSA 7 (TOS-E),16/08/1968
DELTA 1 R/B,16/08/1968
DELTA 1 DEB,16/08/1968
DELTA 1 DEB,16/08/1968
DELTA 1 DEB,16/08/1968
DELTA 1 DEB,16/08/1968
DELTA 1 DEB,16/08/1968
COSMOS 236,27/08/1968
SL-8 R/B,27/08/1968
COSMOS 237,27/08/1968
SL-3 R/B,27/08/1968
COSMOS 238,28/08/1968
SL-4 R/B,28/08/1968
COSMOS 239,5/09/1968
SL-3 R/B,5/09/1968
OPS 5247,10/09/1968
COSMOS 240,14/09/1968
SL-3 R/B,14/09/1968
ZOND 5,14/09/1968
SL-12 PLAT,14/09/1968
SL-12 R/B,14/09/1968
SL-12 DEB,14/09/1968
COSMOS 241,16/09/1968
SL-3 R/B,16/09/1968
OPS 0165,18/09/1968
OPS 8595,18/09/1968
COSMOS 242,20/09/1968
SL-7 R/B,20/09/1968
COSMOS 243,23/09/1968
SL-4 R/B,23/09/1968
SL-4 DEB,23/09/1968
OV2-5,26/09/1968
TITAN 3C TRANSTAGE DEB,26/09/1968
TITAN 3C TRANSTAGE DEB,26/09/1968
TITAN 3C TRANSTAGE DEB,26/09/1968
TITAN 3C TRANSTAGE DEB,26/09/1968
TITAN 3C TRANSTAGE DEB,26/09/1968
TITAN 3C TRANSTAGE DEB,26/09/1968
TITAN 3C TRANSTAGE DEB,26/09/1968
TITAN 3C TRANSTAGE DEB,26/09/1968
TITAN 3C TRANSTAGE DEB,26/09/1968
TITAN 3C TRANSTAGE DEB,26/09/1968
ERS 28 (OV5-2),26/09/1968
ERS 21 (OV5-4),26/09/1968
LES 6,26/09/1968
TITAN 3C TRANSTAGE R/B,26/09/1968
ERS 28 DEB,26/09/1968
TITAN 3C TRANSTAGE DEB,26/09/1968
TITAN 3C TRANSTAGE DEB,26/09/1968
TITAN 3C TRANSTAGE DEB,26/09/1968
TITAN 3C TRANSTAGE DEB,26/09/1968
TITAN 3C TRANSTAGE DEB,26/09/1968
TITAN 3C TRANSTAGE DEB,26/09/1968
TITAN 3C TRANSTAGE DEB,26/09/1968
TITAN 3C TRANSTAGE DEB,26/09/1968
TITAN 3C TRANSTAGE DEB,26/09/1968
TITAN 3C TRANSTAGE DEB,26/09/1968
TITAN 3C TRANSTAGE DEB,26/09/1968
TITAN 3C TRANSTAGE DEB,26/09/1968
TITAN 3C TRANSTAGE DEB,26/09/1968
TITAN 3C TRANSTAGE DEB,26/09/1968
TITAN 3C TRANSTAGE DEB,26/09/1968
TITAN 3C TRANSTAGE DEB *,26/09/1968
TITAN 3C TRANSTAGE DEB,26/09/1968
TITAN 3C TRANSTAGE DEB,26/09/1968
COSMOS 244,2/10/1968
SL-11 R/B,2/10/1968
SL-11 PLAT,2/10/1968
COSMOS 245,3/10/1968
SL-7 R/B,3/10/1968
ESRO 1A (AURORAE),3/10/1968
SCOUT B R/B,3/10/1968
SCOUT B DEB,3/10/1968
SCOUT B DEB,3/10/1968
MOLNIYA 1-10,5/10/1968
SL-6 R/B(1),5/10/1968
SL-6 PLAT,5/10/1968
SL-6 R/B(2),5/10/1968
OPS 0964,5/10/1968
COSMOS 246,7/10/1968
SL-3 R/B,7/10/1968
COSMOS 247,11/10/1968
SL-3 R/B,11/10/1968
APOLLO 7,11/10/1968
SATURN 1B R/B,11/10/1968
COSMOS 248,19/10/1968
COSMOS 248 DEB,19/10/1968
COSMOS 248 DEB,19/10/1968
COSMOS 248 DEB,19/10/1968
COSMOS 248 DEB,19/10/1968
COSMOS 249,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB *,20/10/1968
COSMOS 249 DEB *,20/10/1968
COSMOS 249 DEB *,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB *,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB *,20/10/1968
COSMOS 249 DEB *,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB *,20/10/1968
COSMOS 249 DEB *,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB *,20/10/1968
COSMOS 249 DEB *,20/10/1968
COSMOS 249 DEB *,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
SL-11 R/B,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB *,20/10/1968
COSMOS 249 DEB *,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB *,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB *,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB *,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB *,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB *,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB *,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB *,20/10/1968
COSMOS 249 DEB *,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB *,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB *,20/10/1968
COSMOS 249 DEB *,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB *,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB *,20/10/1968
COSMOS 249 DEB,20/10/1968
COSMOS 249 DEB *,20/10/1968
OPS 4078 (DMSP 4B F2),23/10/1968
THOR BURNER 2 R/B,23/10/1968
SOYUZ 2,25/10/1968
SL-4 R/B,25/10/1968
SOYUZ 3,26/10/1968
SL-4 R/B,26/10/1968
COSMOS 250,30/10/1968
SL-8 R/B,30/10/1968
SL-8 DEB,30/10/1968
SL-8 DEB,30/10/1968
SL-8 DEB,30/10/1968
SL-8 DEB,30/10/1968
COSMOS 250 DEB *,30/10/1968
COSMOS 251,31/10/1968
SL-4 R/B,31/10/1968
COSMOS 251 DEB,31/10/1968
COSMOS 251 DEB,31/10/1968
COSMOS 252,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB *,1/11/1968
COSMOS 252 DEB *,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB *,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB *,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB *,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB *,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB *,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB *,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB *,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB *,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB *,1/11/1968
COSMOS 252 DEB *,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB *,1/11/1968
COSMOS 252 DEB *,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB *,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB *,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB *,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB *,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB *,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB *,1/11/1968
COSMOS 252 DEB *,1/11/1968
COSMOS 252 DEB *,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB *,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB *,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB *,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB *,1/11/1968
COSMOS 252 DEB *,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB *,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB *,1/11/1968
COSMOS 252 DEB *,1/11/1968
COSMOS 252 DEB *,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB *,1/11/1968
COSMOS 252 DEB *,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB *,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB *,1/11/1968
COSMOS 252 DEB *,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
COSMOS 252 DEB,1/11/1968
OPS 1315,3/11/1968
OPS 5296,6/11/1968
PIONEER 9,8/11/1968
TETR 2,8/11/1968
DELTA 1 DEB,8/11/1968
DELTA 1 R/B,8/11/1968
DELTA 1 DEB,8/11/1968
ZOND 6,10/11/1968
SL-12 PLAT,10/11/1968
SL-12 R/B,10/11/1968
SL-12 DEB,10/11/1968
SL-12 DEB,10/11/1968
COSMOS 253,13/11/1968
SL-3 R/B,13/11/1968
PROTON 4,16/11/1968
SL-13 R/B,16/11/1968
COSMOS 254,21/11/1968
SL-3 R/B,21/11/1968
COSMOS 255,29/11/1968
SL-3 R/B,29/11/1968
COSMOS 256,30/11/1968
SL-8 R/B,30/11/1968
COSMOS 257,3/12/1968
SL-7 R/B,3/12/1968
OPS 6518,4/12/1968
HEOS 1,5/12/1968
DELTA 1 R/B,5/12/1968
OAO 2,7/12/1968
ATLAS CENTAUR R/B,7/12/1968
COSMOS 258,10/12/1968
SL-3 R/B,10/12/1968
OPS 4740,12/12/1968
OPS 7684,12/12/1968
OPS 7684 DEB,12/12/1968
OPS 7684 DEB,12/12/1968
COSMOS 259,14/12/1968
SL-7 R/B,14/12/1968
SL-7 DEB,14/12/1968
ESSA 8 (TOS-F),15/12/1968
DELTA 1 R/B,15/12/1968
DELTA 1 DEB,15/12/1968
DELTA 1 DEB,15/12/1968
DELTA 1 DEB,15/12/1968
DELTA 1 DEB,15/12/1968
DELTA 1 DEB,15/12/1968
DELTA 1 DEB,15/12/1968
DELTA 1 DEB,15/12/1968
DELTA 1 DEB,15/12/1968
DELTA 1 DEB,15/12/1968
DELTA 1 DEB,15/12/1968
DELTA 1 DEB,15/12/1968
DELTA 1 DEB,15/12/1968
DELTA 1 DEB,15/12/1968
DELTA 1 DEB,15/12/1968
DELTA 1 DEB,15/12/1968
DELTA 1 DEB,15/12/1968
DELTA 1 DEB,15/12/1968
DELTA 1 DEB,15/12/1968
DELTA 1 DEB,15/12/1968
COSMOS 260,16/12/1968
SL-6 PLAT,16/12/1968
SL-6 R/B(1),16/12/1968
SL-6 R/B(2),16/12/1968
INTELSAT 3-F2,19/12/1968
DELTA 1 R/B(2),19/12/1968
COSMOS 261,19/12/1968
SL-7 R/B,19/12/1968
SL-7 DEB,19/12/1968
SL-7 DEB,19/12/1968
SL-7 DEB,19/12/1968
SL-7 DEB,19/12/1968
SL-7 DEB,19/12/1968
SL-7 DEB,19/12/1968
SL-7 DEB,19/12/1968
SL-7 DEB,19/12/1968
SL-7 DEB,19/12/1968
SL-7 DEB,19/12/1968
SL-7 DEB,19/12/1968
SL-7 DEB,19/12/1968
SL-7 DEB,19/12/1968
SL-7 DEB,19/12/1968
SL-7 DEB,19/12/1968
SL-7 DEB,19/12/1968
SL-7 DEB,19/12/1968
SL-7 DEB,19/12/1968
SL-7 DEB,19/12/1968
SL-7 DEB,19/12/1968
SL-7 DEB,19/12/1968
SL-7 DEB,19/12/1968
APOLLO 8,21/12/1968
SATURN 5 R/B,21/12/1968
COSMOS 262,26/12/1968
SL-7 R/B,26/12/1968
VENERA 5,5/01/1969
SL-6 R/B,5/01/1969
SL-6 PLAT,5/01/1969
VENERA 6,10/01/1969
SL-6 R/B,10/01/1969
SL-6 PLAT,10/01/1969
COSMOS 263,12/01/1969
SL-3 R/B,12/01/1969
SL-3 DEB,12/01/1969
SOYUZ 4,14/01/1969
SL-4 R/B,14/01/1969
SOYUZ 5,15/01/1969
SL-4 R/B,15/01/1969
SL-4 DEB,15/01/1969
OSO 5,22/01/1969
DELTA 1 R/B,22/01/1969
OPS 7585,22/01/1969
OPS 7585 DEB,22/01/1969
COSMOS 264,23/01/1969
SL-3 R/B,23/01/1969
SL-3 DEB,23/01/1969
ISIS 1,30/01/1969
DELTA 1 R/B,30/01/1969
ISIS 1 DEB,30/01/1969
ISIS 1 DEB,30/01/1969
OPS 3890,5/02/1969
OPS 2644,5/02/1969
OPS 2644 DEB,5/02/1969
OPS 2644 DEB,5/02/1969
INTELSAT 3-F3,6/02/1969
DELTA 1 R/B(2),6/02/1969
COSMOS 265,7/02/1969
SL-7 R/B,7/02/1969
OPS 0757 (TACSAT),9/02/1969
TITAN 3C TRANSTAGE R/B,9/02/1969
TITAN 3C TRANSTAGE DEB,9/02/1969
TITAN 3C TRANSTAGE DEB,9/02/1969
TITAN 3C TRANSTAGE DEB,9/02/1969
TITAN 3C TRANSTAGE DEB,9/02/1969
TITAN 3C TRANSTAGE DEB,9/02/1969
TITAN 3C TRANSTAGE DEB,9/02/1969
TITAN 3C TRANSTAGE DEB,9/02/1969
TITAN 3C TRANSTAGE DEB,9/02/1969
TITAN 3C TRANSTAGE DEB,9/02/1969
TITAN 3C TRANSTAGE DEB,9/02/1969
TITAN 3C TRANSTAGE DEB,9/02/1969
TITAN 3C TRANSTAGE DEB,9/02/1969
TITAN 3C TRANSTAGE DEB,9/02/1969
TITAN 3C TRANSTAGE DEB,9/02/1969
TITAN 3C TRANSTAGE DEB,9/02/1969
TITAN 3C TRANSTAGE DEB,9/02/1969
TITAN 3C TRANSTAGE DEB,9/02/1969
TITAN 3C TRANSTAGE DEB,9/02/1969
MARINER 6 (MARS),25/02/1969
ATLAS CENTAUR R/B,25/02/1969
COSMOS 266,25/02/1969
SL-3 R/B,25/02/1969
SL-3 DEB,25/02/1969
ESSA 9 (TOS-G),26/02/1969
